datadatetime,venuename,typeofspace,popularity.type,popularity
2020-03-21 23:30:47,12th St / Oakland BART,transit,current,2
2020-03-21 23:30:47,12th St / Oakland BART,transit,expected,15
2020-03-22 00:30:47,12th St / Oakland BART,transit,current,1
2020-03-22 00:30:47,12th St / Oakland BART,transit,expected,11
2020-03-22 01:30:59,12th St / Oakland BART,transit,current,1
2020-03-22 01:30:59,12th St / Oakland BART,transit,expected,6
2020-03-22 02:30:50,12th St / Oakland BART,transit,current,1
2020-03-22 02:30:50,12th St / Oakland BART,transit,expected,3
2020-03-22 03:30:52,12th St / Oakland BART,transit,current,1
2020-03-22 03:30:52,12th St / Oakland BART,transit,expected,0
2020-03-22 04:30:48,12th St / Oakland BART,transit,current,2
2020-03-22 04:30:48,12th St / Oakland BART,transit,expected,0
2020-03-22 05:30:50,12th St / Oakland BART,transit,current,2
2020-03-22 05:30:50,12th St / Oakland BART,transit,expected,1
2020-03-22 06:30:52,12th St / Oakland BART,transit,current,3
2020-03-22 06:30:52,12th St / Oakland BART,transit,expected,2
2020-03-22 07:30:50,12th St / Oakland BART,transit,current,5
2020-03-22 07:30:50,12th St / Oakland BART,transit,expected,5
2020-03-22 08:30:58,12th St / Oakland BART,transit,current,7
2020-03-22 08:30:58,12th St / Oakland BART,transit,expected,12
2020-03-22 09:31:17,12th St / Oakland BART,transit,current,7
2020-03-22 09:31:17,12th St / Oakland BART,transit,expected,19
2020-03-22 10:31:14,12th St / Oakland BART,transit,current,7
2020-03-22 10:31:14,12th St / Oakland BART,transit,expected,25
2020-03-22 11:31:06,12th St / Oakland BART,transit,current,5
2020-03-22 11:31:06,12th St / Oakland BART,transit,expected,26
2020-03-22 12:31:09,12th St / Oakland BART,transit,current,4
2020-03-22 12:31:09,12th St / Oakland BART,transit,expected,26
2020-03-22 13:31:22,12th St / Oakland BART,transit,current,4
2020-03-22 13:31:22,12th St / Oakland BART,transit,expected,25
2020-03-22 14:32:10,12th St / Oakland BART,transit,current,5
2020-03-22 14:32:10,12th St / Oakland BART,transit,expected,27
2020-03-22 15:31:08,12th St / Oakland BART,transit,current,5
2020-03-22 15:31:08,12th St / Oakland BART,transit,expected,27
2020-03-22 16:31:29,12th St / Oakland BART,transit,current,4
2020-03-22 16:31:29,12th St / Oakland BART,transit,expected,27
2020-03-22 17:30:59,12th St / Oakland BART,transit,current,3
2020-03-22 17:30:59,12th St / Oakland BART,transit,expected,24
2020-03-22 18:30:56,12th St / Oakland BART,transit,current,2
2020-03-22 18:30:56,12th St / Oakland BART,transit,expected,19
2020-03-22 19:30:58,12th St / Oakland BART,transit,current,2
2020-03-22 19:30:58,12th St / Oakland BART,transit,expected,14
2020-03-22 20:30:59,12th St / Oakland BART,transit,current,1
2020-03-22 20:30:59,12th St / Oakland BART,transit,expected,9
2020-03-22 21:30:52,12th St / Oakland BART,transit,current,1
2020-03-22 21:30:52,12th St / Oakland BART,transit,expected,6
2020-03-22 22:30:41,12th St / Oakland BART,transit,current,2
2020-03-22 22:30:41,12th St / Oakland BART,transit,expected,3
2020-03-22 23:30:43,12th St / Oakland BART,transit,current,3
2020-03-22 23:30:43,12th St / Oakland BART,transit,expected,2
2020-03-23 00:30:49,12th St / Oakland BART,transit,current,3
2020-03-23 00:30:49,12th St / Oakland BART,transit,expected,1
2020-03-23 01:30:54,12th St / Oakland BART,transit,current,2
