datadatetime,id,name,current_popularity,dayofweek,hourofday,exppopularity
2020-03-22T03:01:38Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sat,20,0
2020-03-22T04:01:34Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sat,21,0
2020-03-22T05:01:46Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sat,22,0
2020-03-22T06:01:38Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sat,23,0
2020-03-22T06:30:47Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sat,23,0
2020-03-22T07:30:47Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,0,0
2020-03-22T08:30:59Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,1,0
2020-03-22T09:30:50Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,2,0
2020-03-22T10:30:52Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,3,0
2020-03-22T11:30:48Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,4,0
2020-03-22T12:30:50Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,5,0
2020-03-22T13:30:52Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,6,0
2020-03-22T14:30:50Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,7,0
2020-03-22T15:30:58Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,8,0
2020-03-22T16:31:17Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,9,0
2020-03-22T17:31:14Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,58,Sun,10,46
2020-03-22T18:31:06Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,54,Sun,11,71
2020-03-22T19:31:09Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,51,Sun,12,86
2020-03-22T20:31:22Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,49,Sun,13,90
2020-03-22T21:32:10Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,49,Sun,14,95
2020-03-22T22:31:08Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,48,Sun,15,100
2020-03-22T23:31:29Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,33,Sun,16,86
2020-03-23T00:30:59Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,17,Sun,17,53
2020-03-23T01:30:56Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,18,0
2020-03-23T02:30:58Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,19,0
2020-03-23T03:30:59Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,20,0
2020-03-23T04:30:52Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,21,0
2020-03-23T05:30:41Z,ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,0,Sun,22,0
