id,name,address,types,coordinates.lat,coordinates.lng
ChIJywjU6WG_woAR3NrWwrEH_3M,Griffith Observatory,"2800 E Observatory Rd, Los Angeles, CA 90027, USA",tourist_attraction|museum|point_of_interest|establishment,34.1184341,-118.3003935
ChIJ1asLRlSwwoARcbzH4K6wTPc,Dockweiler Beach,"12000 Vista Del Mar, Playa Del Rey, CA 90293, USA",tourist_attraction|park|point_of_interest|establishment,33.93053039999999,-118.4356632
ChIJz7SQuzfHwoAREE6nSE8ZMmo,Los Angeles Union Station,"800 N Alameda St, Los Angeles, CA 90012, USA",point_of_interest|establishment,34.0560036,-118.2374174
ChIJhX1uVuC-woARQNzq4-b1Prk,Runyon Canyon Park,"2000 N Fuller Ave, Los Angeles, CA 90046, USA",park|tourist_attraction|point_of_interest|establishment,34.1052437,-118.3489574
ChIJm6deTdekwoARTY_RzhoRms0,Santa Monica Pier,"200 Santa Monica Pier, Santa Monica, CA 90401, USA",tourist_attraction|travel_agency|point_of_interest|establishment,34.00992149999999,-118.4960063
ChIJhcGq9Iy7woARs8VXy7WsEZ0,Westfield Century City,"10250 Santa Monica Blvd, Los Angeles, CA 90067, USA",shopping_mall|department_store|movie_theater|shoe_store|restaurant|food|point_of_interest|clothing_store|store|establishment,34.0586592,-118.4190309
ChIJVVVVVXjJwoARavx_RXJ-v1o,Watts Towers Arts Center,"1727 E 107th St, Los Angeles, CA 90002, USA",tourist_attraction|point_of_interest|establishment,33.9388598,-118.2419477
ChIJ53JDjkvGwoAR2NMG6_1OnUg,Grand Central Market,"317 S Broadway, Los Angeles, CA 90013, USA",tourist_attraction|food|point_of_interest|establishment,34.05065,-118.2487972
ChIJ-10QkkO2woARiRXgX24o-Ms,Costco Wholesale,"3560 W Century Blvd, Inglewood, CA 90303, USA",department_store|point_of_interest|store|establishment,33.9427136,-118.3334172
ChIJVUXEro66woAR9eHVdsY_-sk,Costco Wholesale,"13463 Washington Blvd, Marina Del Rey, CA 90292, USA",department_store|point_of_interest|store|establishment,33.9927636,-118.4465308
ChIJ8_9PusG7woARP73y1rIVl2U,Rancho Park Golf Club,"10460 W Pico Blvd, Los Angeles, CA 90064, USA",tourist_attraction|point_of_interest|establishment,34.04355659999999,-118.4122323
ChIJdamfKTTKwoARbsE6x78w1bc,Magic Johnson Park,"905 E El Segundo Blvd, Los Angeles, CA 90059, USA",park|tourist_attraction|point_of_interest|establishment,33.9197168,-118.2638787
