datadatetime,venuename,typeofspace,current,expected
2020-03-21 20:00:00,Costco Inglewood,shopping,0,0
2020-03-21 21:00:00,Costco Inglewood,shopping,0,0
2020-03-21 22:00:00,Costco Inglewood,shopping,0,0
2020-03-21 23:00:00,Costco Inglewood,shopping,0,0
2020-03-22 00:00:00,Costco Inglewood,shopping,0,0
2020-03-22 01:00:00,Costco Inglewood,shopping,0,0
2020-03-22 02:00:00,Costco Inglewood,shopping,0,0
2020-03-22 03:00:00,Costco Inglewood,shopping,0,0
2020-03-22 04:00:00,Costco Inglewood,shopping,0,0
2020-03-22 05:00:00,Costco Inglewood,shopping,0,0
2020-03-22 06:00:00,Costco Inglewood,shopping,0,0
2020-03-22 07:00:00,Costco Inglewood,shopping,0,0
2020-03-22 08:00:00,Costco Inglewood,shopping,0,0
2020-03-22 09:00:00,Costco Inglewood,shopping,0,0
2020-03-22 10:00:00,Costco Inglewood,shopping,58,46
2020-03-22 11:00:00,Costco Inglewood,shopping,54,71
2020-03-22 12:00:00,Costco Inglewood,shopping,51,86
2020-03-22 13:00:00,Costco Inglewood,shopping,49,90
2020-03-22 14:00:00,Costco Inglewood,shopping,49,95
2020-03-22 15:00:00,Costco Inglewood,shopping,48,100
2020-03-22 16:00:00,Costco Inglewood,shopping,33,86
2020-03-22 17:00:00,Costco Inglewood,shopping,17,53
2020-03-22 18:00:00,Costco Inglewood,shopping,0,0
2020-03-22 19:00:00,Costco Inglewood,shopping,0,0
2020-03-22 20:00:00,Costco Inglewood,shopping,0,0
2020-03-22 21:00:00,Costco Inglewood,shopping,0,0
2020-03-22 22:00:00,Costco Inglewood,shopping,0,0
2020-03-22 23:00:00,Costco Inglewood,shopping,0,0
2020-03-23 00:00:00,Costco Inglewood,shopping,0,0
2020-03-23 01:00:00,Costco Inglewood,shopping,0,0
2020-03-23 02:00:00,Costco Inglewood,shopping,0,0
2020-03-23 03:00:00,Costco Inglewood,shopping,0,0
2020-03-23 04:00:00,Costco Inglewood,shopping,0,0
2020-03-23 05:00:00,Costco Inglewood,shopping,0,0
2020-03-23 06:00:00,Costco Inglewood,shopping,0,0
2020-03-23 07:00:00,Costco Inglewood,shopping,0,0
2020-03-23 08:00:00,Costco Inglewood,shopping,0,0
2020-03-23 09:00:00,Costco Inglewood,shopping,0,0
2020-03-23 10:00:00,Costco Inglewood,shopping,47,30
2020-03-23 11:00:00,Costco Inglewood,shopping,48,45
2020-03-23 12:00:00,Costco Inglewood,shopping,49,56
2020-03-23 13:00:00,Costco Inglewood,shopping,41,58
2020-03-23 14:00:00,Costco Inglewood,shopping,35,52
2020-03-23 15:00:00,Costco Inglewood,shopping,36,46
2020-03-23 16:00:00,Costco Inglewood,shopping,38,49
2020-03-23 17:00:00,Costco Inglewood,shopping,40,56
2020-03-23 18:00:00,Costco Inglewood,shopping,34,55
2020-03-23 19:00:00,Costco Inglewood,shopping,21,40
2020-03-23 20:00:00,Costco Inglewood,shopping,15,21
