venuename,gmapsid,gmapslink,typeofspace
Griffith Observatory,ChIJywjU6WG_woAR3NrWwrEH_3M,https://goo.gl/maps/Pe7ww4vJAyukX7Xz7,park
Dockweiler Beach,ChIJ1asLRlSwwoARcbzH4K6wTPc,https://goo.gl/maps/xedRQHytn2WEQSqj9,beach
L.A. Union Station,ChIJz7SQuzfHwoAREE6nSE8ZMmo,https://goo.gl/maps/E1R8cMpzmGd55G688,transit
Runyon Canyon Park,ChIJhX1uVuC-woARQNzq4-b1Prk,https://goo.gl/maps/FGUh13cbcfuWgHsd8,park
Santa Monica Pier,ChIJm6deTdekwoARTY_RzhoRms0,https://goo.gl/maps/xehoH2Qm1zg2LTAX8,beach
Westfield Century City,ChIJhcGq9Iy7woARs8VXy7WsEZ0,https://goo.gl/maps/qwhnFJXDNWBqypP77,shopping
Watts Towers,ChIJVVVVVXjJwoARavx_RXJ-v1o,https://goo.gl/maps/oybQqZmuzGPZbmoP7,park
Grand Central Market,ChIJ53JDjkvGwoAR2NMG6_1OnUg,https://goo.gl/maps/VQx1Sdf25vzKeAMe6,market
Costco Inglewood,ChIJ-10QkkO2woARiRXgX24o-Ms,https://goo.gl/maps/4SvtLihdHe68aS7d8,shopping
Costco Marina Del Rey,ChIJVUXEro66woAR9eHVdsY_-sk,https://goo.gl/maps/hDyioV5DErUDQ7ig9,shopping
Rancho Park Golf Club,ChIJ8_9PusG7woARP73y1rIVl2U,https://goo.gl/maps/B9cK8nAiW2B8XVFw5,park
Magic Johnson Park,ChIJdamfKTTKwoARbsE6x78w1bc,https://goo.gl/maps/EAcwzYG83NhQCCSu6,park
Huntington State Beach,ChIJVbrtcKoh3YARKN871uXwqCI,https://goo.gl/maps/5Z9WZyZQ4ynPgmgq6,beach
Temescal Canyon Park,ChIJeayCmnSjwoAREoJOwKqMXXw,https://goo.gl/maps/ncSzJLF3AytTYkxM6,park
Venice Skate Park,ChIJ5d23nLe6woAR_p8Zb9wfX2M,https://goo.gl/maps/AT2xZFnNrM4WkYJJ7,beach
MOCA,ChIJc9UqAiXHwoARRktIsv23_aI,https://goo.gl/maps/bL885QugGghrRiEi8,museum
LACMA,ChIJsXqcyjy5woARNz6sOh0ZmwA,https://goo.gl/maps/yFrPaQWWRmnfM69MA,museum
Runyon Canyon North Entrance,ChIJLY1iIfm-woARTJ4oDF5Z4fo,https://goo.gl/maps/T199ozDcnvbBYgGB8,park
Huntington Library,ChIJc1xhAk3bwoARBBlfKQzXKLM,https://g.page/TheHuntington?share,museum
MedMen WeHo,ChIJmduwqMe-woARMBcztG5vm0g,https://g.page/medmen-west-hollywood?share,shopping
Golden Gate Park,ChIJY_dFYHKHhYARMKc772iLvnE,https://goo.gl/maps/kxkhGDgZ1ZAqKNvF6,park
Zeitgeist,ChIJU889QiB-j4ARzQofqaFrMJU,https://g.page/zeitgeist_sf?share,shopping
Mission Dolores Park,ChIJp3CqeRd-j4ARYI0i8e_kGKY,https://goo.gl/maps/6TxZ5Ec16BT13Bwu9,park
Twin Peaks,ChIJt3HwrOJ9j4ARbW6uAcmhz7I,https://goo.gl/maps/Cy88LRM5NW3UmC1t7,park
Public Market Emeryville,ChIJOU4Og1t-hYARhMYvt8DAp2g,https://goo.gl/maps/EkFaxg13vpygWsT38,market
Montgomery Street BART,ChIJo7HdhWKAhYARp5lDOzOnnK0,https://goo.gl/maps/jEUiuUo7prdLPLTBA,transit
12th St / Oakland BART,ChIJtyRV5LCAj4AR07w1T1ZHdPo,https://goo.gl/maps/2mLm7zm82hKeBvTDA,transit
Berkeley Bowl,ChIJxRCJY4B-hYAR8pED77RBzRY,https://goo.gl/maps/UKkEpsUdJmhx2Xmm8,shopping
